Cabernet-Sauvignon,"<div><p>🍷<strong>Wine color - </strong>Red (can age)</p><p>👅<strong>Basic tastes - </strong>Strong tannin taste</p><p>🍓<strong>Aromas - </strong>cassis and sometime vegetal violet, or sometime other fruits</p><p>👄<strong>Mouthfeel - </strong>Strong to medium strength</p></div>"
Merlot,"<div><p>🍷<strong>Wine color - </strong>Red, deep color</p><p>👅<strong>Basic tastes - </strong></p><p>🍓<strong>Aromas - </strong>Red fruits, Plum, chocolate or mushrooms</p><p>👄<strong>Mouthfeel - </strong>Deep body, strong level of alcohol and low tannin taste</p></div>"
Nebbiolo,"<div><p>🍷<strong>Wine color - </strong>Red, dark when it's young, and starts to get some orange shading when it ages</p><p>👅<strong>Basic tastes - </strong>Strong tannin and acidity</p><p>🍓<strong>Aromas - </strong>Fruits aromas: strawberry, jam; Earthy and wooden aromas: tar</p><p>👄<strong>Mouthfeel - </strong>Strong alcohol level that makes it smoother</p></div>"
Pinot Noir,"<div><p>🍷<strong>Wine color - </strong>Red, paler than Merlot or Cabernet</p><p>👅<strong>Basic tastes - </strong>Low to medium acidity</p><p>🍓<strong>Aromas - </strong>Fruity, Red berries, cherry and earthy or wooden</p><p>👄<strong>Mouthfeel - </strong>Delicate and stimulating</p></div>"
Sangiovese,"<div><p>🍷<strong>Wine color - </strong>Red</p><p>👅<strong>Basic tastes - </strong>Low to medium acidity; medium tannin</p><p>🍓<strong>Aromas - </strong>Fruity aromas, cherry; floral aromas, violet; sometime hazelnut</p></div>"
Syrah/Shiraz,"<div><p>🍷<strong>Wine color - </strong>Red, darl color</p><p>👅<strong>Basic tastes - </strong>Strong tannin level</p><p>🍓<strong>Aromas - </strong>violet, cherry, smoked meat, grilled pepper, tar, burnt rubber, sometime strawberry</p><p>👄<strong>Mouthfeel - </strong>Very robust</p></div>"
Zinfandel,"<div><p>🍷<strong>Wine color - </strong>Red</p><p>👅<strong>Basic tastes - </strong>Medium to high level of tannin</p><p>🍓<strong>Aromas - </strong>Blackberry, raspberry, spicy notes, jam</p><p>👄<strong>Mouthfeel - </strong>Rich wine, high level of alcohol</p></div>"
Aglianico,"<div><p>🍷<strong>Wine color - </strong>Red, can age well</p><p>👄<strong>Mouthfeel - </strong>Powerful wines</p></div>"
Gamay,"<div><p>🍷<strong>Wine color - </strong>Red, light color</p><p>👅<strong>Basic tastes - </strong>Low tannin</p><p>🍓<strong>Aromas - </strong>Red fruits</p></div>"
Barbera,"<div><p>🍷<strong>Wine color - </strong>Red</p><p>👅<strong>Basic tastes - </strong>Good acidity and low tannin</p><p>🍓<strong>Aromas - </strong>Fruity</p><p>👄<strong>Mouthfeel - </strong>Light wines, delicates</p></div>"
Cabernet franc,"<div><p>🍷<strong>Wine color - </strong>Red, good ageing capacity</p><p>👅<strong>Basic tastes - </strong>Elegant tannin structure</p><p>🍓<strong>Aromas - </strong>Very fruity: cassis, currant, violet, vegetal</p></div>"
Corvina veronese,<div><p>🍷<strong>Wine color - </strong>Red</p><p>🍓<strong>Aromas - </strong>Spicy and sweet</p><p>👄<strong>Mouthfeel - </strong>Powerful </p></div>
Grenache,"<div><p>🍷<strong>Wine color - </strong>Red</p><p>🍓<strong>Aromas - </strong>fruity, plum, spicy, cinamon</p><p>👄<strong>Mouthfeel - </strong>Powerful and rich with great fineness</p></div>"
Malbec,<div><p>🍷<strong>Wine color - </strong>Red</p><p>🍓<strong>Aromas - </strong>Fruits and violet</p></div>
Mourvèdre,"<div><p>🍷<strong>Wine color - </strong>Red, good ageing capacity</p><p>🍓<strong>Aromas - </strong>Spicy and fruity</p></div>"
Nerello Mascalese,"<div><p>🍷<strong>Wine color - </strong>Red, wine similar to cabernet franc</p><p>👄<strong>Mouthfeel - </strong>Subtil and delicate</p></div>"
Nero d’Avola,"<div><p>🍷<strong>Wine color - </strong>Red</p><p>🍓<strong>Aromas - </strong>Pulpy fruits, rich, sappy with bitter almond notes</p><p>👄<strong>Mouthfeel - </strong>Strong, structured, robust</p></div>"
Tempranillo,<div><p>🍷<strong>Wine color - </strong>Red</p><p>🍓<strong>Aromas - </strong>Kirsch</p></div>
Aligoté,"<div><p>🍷<strong>Wine color - </strong>Red, to drink young</p><p>🍓<strong>Aromas - </strong>Fruity</p><p>👄<strong>Mouthfeel - </strong>Fresh</p></div>"
Marsanne,<div><p>🍷<strong>Wine color - </strong>Red</p><p>👅<strong>Basic tastes - </strong>Dry</p><p>🍓<strong>Aromas - </strong>Floral with cloves notes</p></div>
Cinsault,"<div><p>🍷<strong>Wine color - </strong>Red, age fast</p><p>👅<strong>Basic tastes - </strong></p><p>🍓<strong>Aromas - </strong>Floral</p><p>👄<strong>Mouthfeel - </strong>Strong</p></div>"
Chenin Blanc,"<div><p>🍷<strong>Wine color - </strong>White</p><p>🍓<strong>Aromas - </strong>Floral, lemongrass, herbs and fruity, apple, grapefruit, with nut taste</p></div>"
